L-wrist,R-wrist,L-elbow,R-elbow,L-shoulder,R-shoulder,L-knee,R-knee,L-ankle,R-ankle,L-hip,R-hip,Pose_Label
155.6453484,138.8325548,207.3137845,203.5798902,187.4360787,189.1098248,75.25811547,89.68210082,156.1163952,159.4049848,200.6383104,20.46392612,balasana
130.8859644,215.2669875,197.1486563,192.9550349,137.2203284,137.1265736,55.62753724,65.55619357,107.6503525,106.0564323,233.9947015,55.22714483,balasana
112.4892563,119.9763622,236.1143997,234.4790369,113.6232235,101.6431573,51.0744268,55.43045028,131.0880643,111.0973118,216.4847257,35.39571067,balasana
152.2425046,149.9745406,148.3700152,142.9210635,303.6629665,304.0300679,258.8759388,244.6682161,130.2009473,128.8305473,88.36299313,101.5687595,balasana
159.6986937,147.5889452,228.4743348,209.3789638,146.402445,142.3877318,43.07624109,59.6863045,89.52624806,121.103124,233.252065,55.84701275,balasana
121.2453933,174.6198541,154.1242925,142.4990302,324.4457631,289.3624001,299.7941799,38.34395001,235.0344265,257.3487213,54.91436692,135.6721212,balasana
138.1700846,167.9261097,134.9852911,129.0688739,222.2751229,219.7763966,301.1565156,309.1872568,245.2279539,260.2709386,43.74454851,133.1162011,balasana
178.4028193,195.1475244,169.2449578,186.6214399,321.6875604,312.3039448,297.3055209,306.3702155,218.2273522,216.7532249,52.72204683,123.5378977,balasana
136.075941,195.0943314,208.6032478,199.7590643,149.5797828,122.1441528,54.28934948,64.83423589,119.7760371,133.8911256,217.1608986,43.26069156,balasana
185.2316263,133.708613,48.95721035,185.8383177,15.2416374,23.00793856,136.6873419,101.1379411,191.5594302,163.4117067,24.42159777,179.3243214,balasana
146.505005,192.922836,137.8269594,133.7966264,217.8598893,220.0812852,300.3051738,308.5851483,253.4412291,271.7289492,56.46708565,118.0639196,balasana
215.366445,195.7116196,200.0956436,194.1564546,147.2840887,147.6450527,46.47277224,55.00263466,107.3837861,89.85870355,256.8370774,74.17310499,balasana
165.3190713,183.9567678,155.3585676,184.165723,48.72599871,28.29674144,33.9102565,32.36232775,105.9580783,109.0544867,254.1997521,63.72043585,balasana
180.1818465,203.0903331,196.4595791,149.6849759,153.9520403,191.5256766,87.75199734,38.42915051,170.8955178,153.9052521,56.77853562,120.8399079,balasana
183.6551268,171.8321832,180.9526055,209.7383748,319.1946116,301.4316066,303.4556442,314.8865162,235.664614,246.0537275,58.51768893,116.0610008,balasana
